Tweet,Tema,Stance
capacidades diferentes: aborto y humanidad común URL vía USER #noalaborto ni a la despenalización de los médicos/paramédicos que lo practican ilegalmente USER USER USER USER USER USER,aborto,C
#abortolegal kirchnerismo: gobierno “progresista”. en 12 años de mayoría absoluta en ambas cámaras. nunca quiso tratar el tema. cambiemos: gobierno “derechista”. propone abordar el tema y deja en libertad de acción a sus diputados y senadores. agiten pañuelos verdes y amarillos.,aborto,F
"""la vida de una criatura vale más que cualquier cosa” james rodríguez URL",aborto,C
"ella es USER , diputada de evolución. como dijo cuando logramos la media sanción del #abortolegal, ""llegar a debatirlo no es una conquista, la audacia es poder aprobarlo"" senadores, 💚 URL",aborto,F
#noabortolibre no seremos cÓmplices de homicidios . URL,aborto,C
este martes 26j habrá pañuelazos en todo el país. USER dijo que las provincias del interior están en contra del #abortolegal. vamos a demostrarle que esta marea es imparable. #seráley en el congreso: URL,aborto,F
los catolicos se quejan de q si el aborto es gratuito lo van a tener q pagar con sus impuestos perdoname yo con mis impuestos sigo pagando subcidios a tu iglesia que lo unico que promueve es el odio hacia mi genero y sexualidad,aborto,F
"you so fucking precious when you 💚💚💚💚💚💚💚💚💚💚 💚 estas a favor del 💚 💚 aborto legal, seguro 💚 💚 y gratuito💚 💚 💚💚💚💚💚💚💚💚💚💚",aborto,F
gran noticia hoy - el #senado de #argentina rechaza el #aborto en una URL,aborto,C
USER #25m marchamos a favor de la vida de la madre y su bebÉ 👉🤰💕 URL,aborto,C
"¿qué tan forro, cínico y/o pelotudo tenés que ser para ""marchar por la vida"" obligando a gente a morir por practicarse un aborto en condiciones inseguras? el #sialavida se lo pueden meter en el orto: aborto legal, seguro y gratuito ya.",aborto,F
"cuando abortas, no abortas un niño abortas una familia. USER URL",aborto,C
"desde hoy nuestro comité de la USER estará de verde, esperando el tratamiento el 8 de agosto de la ley de interrupción voluntaria del embarazo en el senado! que orgullo! URL",aborto,F
-¿qué queremos? URL,aborto,N
"¿esperan que alguien se crea que #abortolegalesvida ? miren la foto a ver si les parece vida. feminazis, háganse cargo: se cagan en la vida. y la gente ya está despertando. URL",aborto,C
"USER USER USER no respondio la pregunta, no respondio la pregunta. es facil opinar sobre la vida de otros, pero si fuera tu hija. al contrario aqui no hay doble moral, estamos a favor del aborto y punto.",aborto,F
"muriel santa ana defendió el #abortolegal, seguro y gratuito en el congreso: ""llevarán sobre sus espaldas a las muertas por abortos clandestinos"" URL",aborto,F
"""este es el siglo de los derechos de las mujeres"". #argentina ha dado un paso histórico: el proyecto de #abortolegal ha sido aprobado en la cámara de diputados. URL",aborto,F
exacto! URL,aborto,N
"hay un chip anticonceptivo que tiene una enorme efectividad y pocos efectos contrarios que hoy x hoy se implanta gratis en las salitas de barrio y en lugar d fomentar su uso los asesinos quieren #abortolegal? cuando sos hijo de puta, sos hijo de puta.",aborto,C
lo mejor que van a ver hoy👏 URL,aborto,N
"seguimos al frente de la embajada de argentina en bogotá, colombia 💚💛💚💛 el embarazo será deseado o no será! USER USER #argentina URL",aborto,F
USER vamos que todavia falta que vaya al senado . y rezando no solucionamos nada hay que ser mas revolucionarios . sin curas en el escenario vamos a lograr que la ley no se apruebe . soy ateo y le digo no al aborto 💙,aborto,C
a un año de la aprobación en el tc del aborto en tres causales. las feministas seguimos avanzando en el #abortolegal y hoy se presenta un proyecto para su despenalización hasta las 14 semanas. desde diversas organizaciones sociales decimos fuerte y claro,aborto,F
"#yovotoabortolegal porque no todxs tenemos como proyecto ser madres. no te obligo a abortar, no me obligues a parir.",aborto,F
"banco fuerte el derecho al aborto y la lucha feminista #abortolegalya 💪 educación sexual para decidir; pastillas para no abortar; aborto legal, seguro y gratuito para no morir! URL",aborto,F
"tras el rechazo en el senado del proyecto de ive, la clandestinidad del aborto sigue matando mujeres. entrevistamos a ana paula fagioli medica generalista integrante de la USER URL #abortolegalya URL",aborto,F
"todxs lxs ""pro-vida"" son mujeres menopáusicas, hombres de más de 60 años y religiosxs. déjenos en paz!!! 💚",aborto,F
"que nadie se deje llevar por la cultura de la derrota. ¡bravo, chicas! ¡ustedes han levantado alto el honor y la dignidad de las mujeres argentinas! ¡nadie podrá parar a la oleada de la nueva generación! ¡#seráley! ¡habrá ley contra viento y marea! URL",aborto,F
en el #congreso diciendo #sialavida #salvamoslas2vidas USER URL,aborto,C
"porque no es lo mismo ganar de cualquier forma que ganar jugando bien. que gane la vida, hay mejores formas de que gane la mujer y no es con el : URL",aborto,C
somos historia!,aborto,N
muchas gracias. URL,aborto,N
"escuchen a dos ministros de salud. es la verdad,son unos segundos. no se lo pierdan. #seraley 👇🏻👇🏻👇🏻👇🏻 URL",aborto,F
seremos millones URL,aborto,N
voy a llorar. de tristeza o de emoción pero voy a llorar. mucho. espero sea de alegría. el movimiento de mujeres se lo merece,aborto,F
san miguel de tucumán tiene un movimiento feminista enorme que resiste y pide por el aborto legal seguro y gratuito URL,aborto,F
"en la conferencia conjunta con macri, rajoy se negó a evaluar los resultados de la legalización del aborto en españa. como él está en contra y los resultados han sido positivos, no le conviene mencionarlos.",aborto,F
desde méxico abrazamos la lucha de nuestras hermanas argentinas. por nuestra vida y nuestra autonomía URL,aborto,F
"esta cuenta apoya fuerte la campaña por el #abortolegalya porque en la mitad de las provincias de #argentina los abortos clandestinos son la principal causa de mortalidad materna y porque las mujeres son las únicas que pueden decidir si quieren ser madres, cuándo y cómo.",aborto,F
you so fucking precious when you 💚💚💚💚💚 💚 apoyas 💚 💚 el aborto 💚 💚 legal seguro 💚 💚 y gratuito 💚 💚 💚 💚 💚 💚,aborto,F
"el domingo 10/6 estaremos en todas las iglesias teniendo un tiempo de oración. pedimos que puedan dedicar en algún momento del servicio del día domingo, un tiempo de ruego e intercesión a dios para que la vida prime en el congreso y en toda la república argentina. URL",aborto,C
"""el art 19 de la constitución nacional es muy claro: las acciones privadas de los hombres que de ningún modo ofendan la moral pública, ni perjudiquen a terceros... acá sí hay un tercero: el niño por nacer"" URL",aborto,C
"""las mujeres pobres abortan"" falso. las mujeres de los barrios quieren salir de la pobreza, no matar a sus hijos. si se diseñan políticas que acompañen a la mama, hasta los indicadores mas terribles se revierten. asi lo hacemos en san miguel. #sialasdosvidas USER",aborto,C
"#michettienml #abortolegalya #abortoensenadoya votar no, no es impedir que los abortos continúen sino que sigan siendo clandestinos legalizar no es obligar sino generar equidad y justicia social USER URL",aborto,F
"el miercoles 13 de junio llenamos las plazas de todo el país en el vigilia por el aborto legal, seguro y gratuito ! luchá por vos ! URL",aborto,F
"en su show en mendoza, aristimuño se puso el pañuelo verde y pidió por el 💚 URL",aborto,F
listos para entrarle con todo.!! URL,aborto,N
"no es cuestión de moral, ni religión. cuando hablamos de personas muertas en una clínica clandestina, hablamos de una cuestión de pura salud pública.",aborto,F
ya lo dijo USER: - educación sexual para decidir; - anticonceptivos para no abortar; - aborto legal para no morir.,aborto,F
"esto es falso. se puede modificar por ley porque es una ley la que dice cómo interpretar la convención. rango constitucional tiene la convención, no la ley de interpretación. URL",aborto,N
somos muchos URL,aborto,N
"me parece que el aborto bajo 3 causales era necesario y útil para muchas chilenas,pero el #abortolibre es simplemente darse un gusto las mujeres,mostrar empoderamiento,y los políticos aprovechar estas circunstancias para subir en encuestas y apoyo popular.",aborto,C
#bahiablanca quiere #abortolegalya #quesealey USER URL,aborto,F
USER #sialasdosvidas gracias alfredo!!! 🙏🏻 x usted!!!,aborto,C
la lucha por nuestros derechos reproductivos continúa en toda américa latina: presentaron en chile una moción para despenalizar el aborto. URL,aborto,F
somos el grito de las que ya no tienen voz URL,aborto,N
las paredes del #8a. fotos USER URL,aborto,N
USER USER el voto provida nos representa y debe ser respetado.,aborto,C
"lloro, lloro de emoción.",aborto,N
10:30. congreso.. URL,aborto,N
"#8a, seamos millones en las calles por el! URL",aborto,N
"a mis compañeras argentinas luchando en un día histórico como hoy, les mando todo mi 💚 desde méxico; ustedes han sembrado un bosque y que nos ha devuelto el aliento para seguir luchando por nuestro derecho a vivir, latinoamerica será toda feminista URL",aborto,F
mirala qué orgullosa posa junto a sus medallas pokémon de kanto. URL,aborto,N
"en santiago del estero, dónde obligaron a marchar a niñxs con pañuelos celestes, murió en febrero maría campos x complicaciones de un aborto clandestino. tenía 37años y 5 hijxs. el fundamentalismo religioso empuja a las mujeres a la muerte. URL",aborto,F
"capaz ahí quedó más claro. soy adoptada y estoy a favor del aborto legal, seguro y gratuito.",aborto,F
somos abogadas por el #abortolegalya y nos convocamos el 9 de mayo para hacer una intervención fotografica. más voces se suman al debate por la autonomía de nuestros cuerpos. URL,aborto,F
"alita en las calles, en mal estado, con hambre, con una pata deforme de nacimiento. alita en su casa, recuperada, feliz💞 sumate vos también a cambiar vidas👉URL URL",aborto,N
es por todas. el 8 de agosto 💚 URL,aborto,N
dejo esto x aca.... URL,aborto,N
"mientras estan firmando cineastas me llega el mensaje: "" somos 250 bailarinas por #abortolegalya ¿cuando podemos juntarnos ahi para firmar""?",aborto,F
"hoy encendimos la luz verde del #abortolegalya en el congreso. sepanlo, legisladoras, legisladores. llegó la hora. y es muestra hora, ya URL",aborto,F
felicitaciones a los peruanos valientes que hoy fueron frente a la embajada de argentina en lima a manifestar su apoyo al pueblo argentino en defensa de la vida del niño por nacer. #salvemoslas2vidas #sialasdosvidas ¡si a la vida! ¡no al aborto! URL,aborto,C
"estoy llorando, aplausos para esta mujer, entendiÓ todo URL",aborto,N
los que pugnan por legalizar el aborto no hablan de las terribles consecuencias emocionales de las mujeres que lo han practicado. son heridas en el alma que sólo jesús puede sanar.,aborto,C
¿desde cuándo alguien tiene que demostrar que ya creció lo suficiente para que no maten? #síalavida #laregladelosdos USER USER USER USER USER,aborto,C
la discusión por el aborto legal a la tv? queremos ! #abortolegal y #gratuito. vamos las pibas que conquistan espacios en #intrusos USER USER USER / vamos USER con el compromiso 👇🏽 URL,aborto,F
"#síalavida de todas las mujeres pobres, trabajadoras, adolescentes, sin recursos que mueren cada año a causa de la clandestinidad del aborto, que solo interesa a los que hacen negocio con nuestra salud... y a la iglesia.",aborto,F
por todas mis amigas y conocidas que tuvieron que dejar el colegio por un embarazo. porque la maternidad no deberia ser un castigo.,aborto,F
"la abogada celeste braga beatove aporto aporta a favor del #abortolegal ""honrar a belén significa garantizar que nunca más una mujer va a ir presa cuando decida interrumpir un embarazo"" cada vez tenemos mas motivos para decir #niunamenos por clandestinidad! URL",aborto,F
"estamos todos haciendo la lista de los diputados que nunca jamás en la vida vamos a votar en absolutamente nada, no?",aborto,N
"jaaaaa dónde cumplió (?).. ni lo del 2015 cumplió..."" el loco es ingeniero"" con esa frase, más las inundaciones...se me viene a la mente ▶️#abortolegalya ◀️ URL",aborto,F
cada muerte de una mujer por un aborto clandestino es responsabilidad de los 38 senadores que dilapidaron la oportunidad histórica de aprobar el URL,aborto,F
USER USER USER USER USER vamos que se puedeeee!!! #rechazototalenelsenado,aborto,N
"USER USER en nada, solo estarias divirtiendote del show, ganarias un poco de dinerillo extra, ayudarias a una causa y informarias sobre el tema que esta en el tapete",aborto,N
#noabortolibre porque argentina ya nos demostró lo falto de lógica que es pensar que con matar a alguien se solucionan problemas de salud. URL,aborto,C
que el USER se asome y mire las calles!! esto es sólo av callao. están igual de repletas la av de mayo y la av 9 de julio. 💜💚💜 #estamoshaciendohistoria aunque lxs senadorxs pretendan q sigamos en el medioevo más temprano q tarde el URL,aborto,F
en los USER siguen ignorando que USER cada vez atrae más a una parte del electorado de derechas. para las elecciones europeas nos dan casi un 5 % de votos y 3 escaños. URL,aborto,N
"si no quiere tener hijo no se embarace, así no tiene q abortar... o sino q salga de su bolsillo... ridicules...",aborto,C
las paredes andan diciendo 💚🔥 URL,aborto,N
mañana martes verde por el. URL,aborto,F
USER desde #rosario en la facu de humanidades seguimos bancando lxs trapxs! URL,aborto,N
#abortolegalya ✊ el gobierno puso en agenda el debate sobre el derecho al aborto 👉 en #alosbotes hablamos con todos los espacios políticos: URL,aborto,F
"en #mendoza nos juntamos a partir de las 16 h en plaza independencia y hacemos #vigiliaverde por #abortolegalya, porque el #13j es día para estar en la calle y exigir a lxs legisladorxes que URL",aborto,F
"todos los pro clandestinidad dicen que fracasaron, entonces dedÍquense a otra cosa.",aborto,F
"USER ""la mujer tiene derecho a decidir sobre su propio cuerpo"",podrían ser mas originales y variar el argumento, no?😰",aborto,C
"“¿cómo voy a discutir yo con mujeres el tema de la libre disposición de su cuerpo?"", preguntó el senador marcelo fuentes. votó por el sÍ al URL",aborto,F
"no más mujeres obligadas a parir, no más presas por decidir, ni una muerta mas por abortar!#abortolegalya URL",aborto,F
porque olmedo siempre puede ser mas nefasto. USER USER USER USER USER USER USER URL,aborto,N
"“¿acaso mi cuerpo sirve solo para concebir?”, interroga carolina comarelas. porque ser mujer es mucho más que ser madre. deseos. cuidados. autonomía. de eso se trata #abortolegal 💪🏻💚 URL",aborto,F
buenas noches USER URL,aborto,N
hay 2 tipos de adolescentes: quienes forman parte del montón y quienes quieren cambiar el mundo. aquí un ejemplo del 2do grupo. el mundo es un lugar menos horrible gracias a ellas. mis respetos a y admiración a las jóvenes luchadoras!! URL,aborto,N
"#argentina murió liz, una joven de 24 años que había sido ingresado en estado grave en un hospital de la provincia de buenos aires. es otra víctima del #abortoclandestino, la segunda en una semana. URL",aborto,F
"hoy vino al congreso USER para encontrarse con artistas, diputadas y diputados que apoyamos el #abortolegalya. 8m URL",aborto,F
jesucristo vino para que tengamos vida y vida en abundancia.- USER,aborto,C
"USER 🙋 el horario de finalización de la misma, jamás será negociado..!!!",aborto,N
"USER USER USER así con la defensora de la niñez, promoviendo el aborto libre y el asesinato de niños inocentes e indefensos",aborto,C
"se lo aprendí a las argentinas y ahora lo enseño en mi clase: educación sexual para decidir, anticonceptivos para no abortar y aborto legal para no morir. 💚💚💚 ¡viva el pañuelo verde!",aborto,F
"""no son pro vidas, son anti mujeres"" george carlin... veanlo, es muy elocuente para tratar un tema que es tabú el discurso de los ""pro vida"" visto del lado del sarcasmo, en los 90' #abortolegalya #queelabortosealey parte 1 URL",aborto,F
que decir aborto suene a legal y que no sea un pecado mortal ¡que no se quede mi pueblo dormido! #abortolegalya ♥️🙌🏼 URL,aborto,F
"hoy las mujeres que trabajamos en marketing, comunicación y publicidad pedimos #abortolegalya en argentina. ¡sumate con tu mensaje y sumá a otras colegas! educación sexual para decidir, anticonceptivos para no abortar, aborto legar para no morir. URL",aborto,F
"argentina tiene que avanzar! el aborto existió siempre! basta de muertes en la clandestinidad! un país con mejor educación sexual, y leyes que protejan a sus ciudadanos, va a ser un mejor país! no retrocedamos! avancemos!",aborto,F
miren la marea verde ayer en córdoba en el festival y vigilia organizado por la USER 💚 ¿en serio piensan que nos pueden parar? ahora que si nos ven el URL,aborto,F
"soy madre, no abortaria. pero, si estoy a favor de la legalizaciÓn. de eso se trata. de mirar más alla de tu ombligo.",aborto,F
mtv argentina a favor del 💚 URL,aborto,F
qué gracioso que en la marcha por el #abortolegalya no había nadie normal. todas gordas lesbianas cara de orto flequillo teñido recto piercings tachas que en su puta vida van a quedar embarazadas.,aborto,C
"el peor genocidio de la historia es el #aborto legal o ilegal, millones de niños son sacrificados en clínicas legales o clandestinas, por eso gritamos alto y claro: URL",aborto,C
"celestes o verdes, todos coincidimos en que ninguna mujer quiere llegar a 1 aborto #sexualidadresponsable y #anticoncepción son 1 buen comienzo. en el grafico están los lugares a los q te podés acercar si fallaron. URL",aborto,N
"para q baje la tasa de mortalidad de gestantes en mano de abortos clandestinos, para poder decidir sobre mi cuerpo sin ser humilladx previamente, xq el anticonceptivo fallo y no estoy preparadx para unx hijx, por esto pedimos #abortolegalya en todos los hospitales",aborto,F
"si marchan en contra del aborto, no estan marchando a favor de la vida, estan marchando para que las mujeres sigan muriendo por los abortos clandestinos, asi que ""pro vida"" las pelotas",aborto,F
luchadoras contra el sistema de castas de la india tambien gritan URL,aborto,N
"los abogados y judiciales seremos la reserva frente a la perversa negociación política , el derecho a la vida no morirá jamás",aborto,C
"como liberal, y defensa irrestricta a la vida humana, esta es la base de mi postura para no apoyar el aborto libre. URL",aborto,C
"cavani, cannabis y abortolegal. el paraíso se llama uruguay.",aborto,F
"orgulloso de formar parte de #cambiemos, un espacio donde podemos disentir y seguir trabajando juntos. hace un rato, un grupo nutrido de funcionarios y legisladores nos manifestamos a favor de la despenalización del aborto en nuestro país. URL",aborto,F
"es un buen momento de cambiar las palabras. los tradicionales grupos ""pro-vida"" han sido cómplices de los abortos clandestinos y miles de muertes. los que apoyan el #abortolegalya no quieren más muertes. se basan en la evidencia científica y en recomendación de USER 💚",aborto,F
"decenas de miles de mujeres, hombres y niños en cientos de ciudades argentinas dando una conmovedora muestra a favor del derecho a la vida de los niños por nacer. abordemos el problema de los embarazos no deseados pero con soluciones que preserven todas las vidas. URL",aborto,C
"""cómo es y quiénes habitan el laboratorio de santa fe que produce el medicamento protagonista del debate por la ley ive: el misoprostol"". (nota de arlen buchara). URL",aborto,N
"#unboxing | #abortolegal dejémoslo claro: el aborto no es una cuestión moral, es una cuestión de derechos humanos. ve y rt el segundo video de #unboxing con USER ⏩ URL URL",aborto,F
"si se legaliza el aborto y se financia con fondos públicos, me obligaría a pagar con mis impuestos una práctica que va en contra de mis más profundos valores humanos.",aborto,C
"me pareció excelente el nuevo vídeo de mica suárez y que apesar de los comentarios negativos que vaya a recibir de la gente que ve su contenido, haya sido fiel a sus convicciones!",aborto,N
"gracias a juventud radical, juventud pro, la cámpora, franja morada, mnr, juventud socialista, moviento sur, juventud ptp , nuevo encuentro, secundarios ues y toda la juventud argentina que pide por más salud pública #abortolegalya compromiso y unidad por más derechos 💪 URL",aborto,F
las pibas ejemplo a seguir #apostasiacolectiva #estadolaicoya #seraley #abortolegalya más info USER,aborto,F
leer los argumentos de lxs pro vida chilenis es como ver a tu amigx volao hablando del significado de la vida. puras weas sin sentido,aborto,F
"el borromeo haciendo historia, URL",aborto,N
"marcha por la vida, por la política del desarme que puede salvar millones de vidas, hoy en las puertas de USER URL",aborto,N
"a pesar, de vos de mí, de cualquiera, hay abortos clandestinos. una realidad en salud. qué hacemos, miramos para otro lado?",aborto,F
eres una mujer valiente puedes seguir adelante y disfrutar de este hijo.,aborto,C
"campaña ""rompiendo el silencio"" se desarrolla en el frontis de nuestra iglesia el obrero - sullana ""b"" con la participación de la ciudadanía URL",aborto,N
"no es aborto sí o aborto no. es legal o clandestino. que lxs senadorxs estén a la altura de la historia y voten por la legalización, que voten por más derechos para nosotras. #abortolegalya ✊🏼💚 dibujo de USER ✍🏼 URL",aborto,F
"la USER es federal! no solo la presencia se demostró con los pañuelazos en todos los rincones del pais, sino también con las vigilias multitudinarias el 13 y 14. ni somos ""el interior"" ni somos antiderechos",aborto,F
vení USER vení mirá💚 vamos por el #abortoensenadoya #seráley ✊🏼 USER USER URL,aborto,F
"a los proaborto les pido mayor consecuencia: deben usar pañuelo rojo en vez de verde, porque cuando se aborta lo que hay y sobra es sangre.",aborto,C
[argentina] multitudinaria marcha por la vida y contra el aborto. [fotos y videos] URL vía USER #síalavida #noalaborto [perú] pronto. Únete sábado 5 de mayo 3pm. información URL,aborto,C
"fue muy doloroso el pasado de tonio, pasó por mucho.pero hoy tonio es feliz 😊💙 sumate a cambiar vidas como la de tonio: URL 💞🐾 #sialavida #adoptanocompres #noabandones #noalmaltrato #noalascarrerasdegalgos #galgoslove #galgo #tonio #campito #camperitos URL",aborto,N
"para que se deje de hacer en lugares clandestinos, para que no sea exclusivo de quienes pueden pagarlo, para que no mueran más mujeres, para empezar a separar al estado de la iglesia y porque lo piden millones de mujeres",aborto,F
hay luchas por la libertad y hay luchas por la igualdad. la causa del #abortolegal las reúne como pocas.,aborto,F
#palabrasemanal “defendamos las dos vidas” leer aquí: URL #síalasdosvidas URL,aborto,C
"definitorio hace 3 hs. el senador romero se expidió públicamente y sumó su voto al no #abortolegal logrando así sumar 36 votos contra 32 x el si, y aunque falten decidirse alperovich y perotti. lucila crexell, se abstiene. difundir por favor. gracias URL",aborto,N
ahora y siempre URL,aborto,N
el argumento de quienes piden #abortolegalya refutado en 30 segundos por USER URL,aborto,C
el cardenal dolan de nueva york pide al movimiento provida no rendirse nunca ante la cultura del #aborto. USER URL,aborto,C
#sialavida en todas sus expresiones,aborto,C
USER que bueno que se la juegan!! #cuidemoslas2vidas 💪🏻🤱🏻#cuidemoslasdosvidas,aborto,C
no se pueden casar y se opusieron al divorcio. no pueden fornicar y se opusieron a la entrega gratuita de preservativos. no pueden embarazarse y se oponen al #abortolegal. ¿como es posible q los obispos y la iglesia católica tengan voz y voto en este debate?,aborto,F
me mandan esto desde #argentinaabortolibre les invito a comprobarlo. URL,aborto,N
los argumentos en contra del #abortolegal alcanzaron un nivel tan caricaturesco e insostenible que quienes todavía no tienen una opinión formada creen que los inventamos los que estamos a favor.,aborto,F
pino habló del goce. URL,aborto,N
excelente noticia! URL,aborto,N
"a favor del aborto legal, seguro y gratuito: en la senda histÓrica de nuestro partido. leé el comunicado completo acá: URL #abortolegalya URL",aborto,F
el debate no es aborto sí o aborto no. el debate es aborto legal o aborto clandestino. aborto seguro o aborto en condiciones de riesgo. aborto gratuito o aborto como negocio para los que lucran con la clandestinidad. URL,aborto,F
USER USER vamos chile defiende a tus hijos.,aborto,C
con esta contundencia y sororidad terminó hoy su primer encuentro en argentina URL,aborto,N
#noabortolibre yo como joven con discapacidad estoy en contra del aborto si a la vida,aborto,C
no te creas con derecho a bajar los brazos. ellas (y otras más) nos trajeron hasta acá. por las pibas que vienen. 💚💪✊ URL,aborto,F
estoy en condiciones de afirmar la ley del aborto sera rechazada por 10 votos nadie indeciso lo q influyo marcha multitudinaria d domingo en todo el pais por #sialavida toma de colegios d los abortistas y amenazas a diputados sepan perder no hacer quilombo es democracia besito,aborto,C
#abortosesionhistorica #abortolegalya #abortolegal #abortoseraley q u e s e a l e y,aborto,F
"al menos me resulta un oxímoron que cuando se está debatiendo #abortolegal, se fogonee la #leydetrombofilia, rechazada por las sociedades científicas",aborto,N
"#chilesepintadeverde hablame de sororidad sin fronteras, hermana. ¡esto pasa ahora en santiago de chile porque #nobastan3causales y porque lograremos #abortolegal💚 en toda américalatina y el caribe! USER USER URL",aborto,F
"ayer en USER la ecofeminita USER mostró por primera vez una caja de misoprostol en la televisión de nuestro país, además de recorrer diversos datos sobre aborto. aquí pueden reveerlo y tener más argumentos para pedir por el 💚 URL",aborto,F
"¿cómo es posible que el ical promueva como ""derecho"" algo que no lo es? #elabortonoesunderecho no existe el derecho a decidir sobre la vida de otro. y si no lo saben...el #abortoesdelito USER USER USER URL",aborto,C
"no abortes nada! siempre hay esperanza. no abortes nada, y menos una vida!",aborto,C
se hacen los chistes solos chiques. URL,aborto,N
las ecofeminitas ya estamos en el congreso por el URL,aborto,F
"por esto mis amigas argentinas están en las calles, por que no puede ser. humanidad por favor! ¿de verdad le quieres arrebatar la posibilidad de seguir siendo niña (dentro de lo posible) a una niña de 10 años violada por el padrastro? #basta #abortolegal USER URL",aborto,F
"verde: #abortolegal, naranja: en casos muy particulares, rojo: totalmente prohibido. que tienen en comun los paises verdes? paises desarrollados. que tienen en comun los naranjas y rojos? paises con la mayor tasa de mortalidad infantil. para pensarlo no? URL",aborto,F
"rechazar el #abortolegal implica mantener el aborto clandestino y la penalización d la mujer!además es el rechazo a la mejora en la ley d educación sexual y la despenalización del aborto x incompatibilidad d vida extrauterina como la anancefalia,incluidos en el proyecto!#seraley",aborto,F
"38-31 por el no. ""vamos todavía"", dijo michetti. no sé si por su alegría por el rechazo o porque hace tiempo que tenía demasiadas ganas de irse a su casa. pésima conducción de la sesión de la vicepresidenta. no dio la talla.",aborto,N
los pro-clandestinidad ¿podrían dejar de intentar que pensemos distinto? nosotros también estuvimos en contra de la despenalización antes de informarnos (por la educación adoctrinada que tenemos) pero es un viaje de ida. cuando empatizas no volves atrÁs!,aborto,F
en #zaragoza nos sumamos al llamamiento de #pañuelazointernacional de USER en #argentina💚 están haciendo historia en su lucha cada vez más masiva por el #abortolegalya y en todo el mundo nos juntamos para gritar que #seráley 💪📣 URL,aborto,F
