Stance,Tweet
0,#scotus link of the day: @tonymauro remarks on possibility new 9th justice may vote on cases argued pre-confirmation
1,lawmakers are still citing thoroughly discredited videos to justify pushing their anti-choice agenda
-1,ever see this #plannedparenthood bag? now you'll know the .
-1,"""no man has ever judged a woman on her eyelashes"""
0,Changing the cis-nomative atmosphere is difficult.
-1,I'll always put all my focus and energy toward keeping people alive instead of deciding who gets to marry.
0,this is needed b/c @gop refused to do their job! #scotus senate dems will filibuster trump’s supreme court nominee
1,pussy-grabbing braggart sends insincere missive about sexual assault awareness month
0,modern day
1,"Fallopians 3:16 ""Not your fuckin' pregnancy - not your fuckin' business!"""
-1,choose progress #wrestling 2
-1,"abortion ends one life, and forever adversely alters another."
0,"how any #entrepreneur can make $200,000 with one key life choice @entrepreneur"
1,#foxnews2017 Sick and tired of the #LiberalHypocrisy when those who protest loudest against #RapeCulture also scream loudest to accept it!
0,we tend to think only #women have to adjust a lot after #marriage. learn more:
-1,mt @awakedeborah: fearfully and wonderfully made! by god.
1,"when #reprorights are under attack, what do we do? stand up fight back!"
0,@WildChild69 @AnnieJMJ @binghamrk Jesus says to trust him in ALL things not to put trust in men or the world.
-1,mt @patrioticgirl86: the greatest destroyer of love and peace is abortion.
-1,Women's rights are a joke. Omg I can't even. Lol go thank your mom for keeping you.
0,only in 2017 does a football coach answer the question how to win a game is by love. #lovewins a
-1,did you spot our edinburgh store in the new @t2trainspotting film?
-1,"please vote. when u do remember if there is no planet to live on, all your hopes and dreams are worthless. there is no future."
0,stand up for who you are and what you believe. it's never been more important than it is today ‍
0,"due to #charlesmanson's health scare, the @realdonaldtrump team is frantically trying to get in touch with their #2 #scotus pick, meat loaf."
-1,It's time to end the #deathpenalty in the United States.
0,"bouncer on the dance floor: is this guy bothering you? me: well, he's my husband... so yes"
0,"#scotus is to obey, defend constitution, not social justice!"
0,it's hard to miss the irony that the first amendment ends on the property of the court that's supposed to protect that right.
-1,@ppfa you may have won but the #prolifegen is coming!
0,"looks like another summary reversal is coming to #scotus, and justice gorsuch may yet again tell us how much he disagrees."
0,"time to tune-up your #marriage?readers' favorite book #awards gold medalwinner, 5-star award &amp; niea finalist @"
1,"#whatwomenwant, on #valentinesday &amp; every day, is respect. respect for our bodies, our #reprorights, and our work at the office &amp; at home."
-1,Just laid down the law on abortion in my bioethics class.
0,the best date ever!!! love @bradsharpmusic so much
0,happy 4th of july!
-1,"During an abortion, something alive must become dead to be considered a successful abortion..."
1,"created by @joebiden - it's on us ""autocorrect"" psa translates casual conversation to reveal -"
0,#marriage and how to hold on.
0,because #lovewins and we should never give up
-1,will you defend my life when the world argues otherwise?
0,retweetwhat grade would you give #trump who has been @potus for 25 weeks
0,claims against bill pryor's conservative bona fides are simply wrong.
-1,static cling?! check out today's gen news:
0,this boymom thought she had life by the tail!
-1,@micknugent What nonsense is this colleague of yours writing about??
-1,#kumbaya welcomes us to #austriavienna rt #catholiceducation 2 …
0,"at the end of the day, nonok wins. go nonok!"
1,news and analysis from sky news radio
1,"""this is the floor, not the ceiling of what we want"" fascinating insights into the fight for #abortionrights in #honduras from @regifonseca"
0,"in this style guide, naag's supreme court counsel shares his insight from over 20 years of reading #scotus briefs"
-1,no better way to close out the week then by welcoming @catholicmiami @encjuveniles group #marchforlife! gen
0,"left: #scotus cafeteria—no dr pepper right: @reagan_library cafeteria—dr pepper mr. chief justice, tear down this wall!"
1,these elected officials cast votes to help women on all bills voted on in their respective chambers. thank you!
-1,"there's always room for #hope. it has to get better - the way we treat each other, and care about each other."
-1,How much do we really believe in equal rights for all mankind?
1,it's time for change...
0,"this saturday! @budapestpride, for the first time in 10 years will go ahead without police fences (we hope). we're not the threat"
-1,the gen has some momentum going on...i mean some
-1,"Is #America still ""One Nation Under God"""
-1,@UCBerkeley No Such Thing As An Unforced
-1,rt if you support #personhood for the .
1,along with @sadhanahindus we say #notrumpcare and we defend #reprohealth &amp; #reprorights &amp;
-1,Since now the LGBT community received equal rights now it's time to give equal rights to the unborn community!
-1,thank you @students4lifehq for your tireless work. congrats on 10 yrs of incredible achievements
0,the addition of justice neil gorsuch promises to make the next supreme court term a blockbuster.
0,Equality in the states is a nice step forward to a better America.
0,delighted to be marching for #marriageequaility for @age_ni
-1,mt @patriotjewelusa: help save most innocent among us!
0,"Manipulation, Disguise, & Evil is always seen by the out-come. The Ugly Doors of Satan appear in all forms when it's Fake Love."
-1,mt @patrioticgirl86: the greatest destroyer of love and peace is abortion.
0,sen. merkley says he will filibuster any #scotus nominee that is not merrick garland.
-1,"respect, equality, justice: it begins with valuing life in the womb:"
1,contraceptive pill sparked a huge economy revolution. #reprorights are crucial for women's economic empowerment.
-1,"If you're all about equality, then the unborn babies get an equal chance at life too...."
-1,"mt @amenditusa: new mood,new plan. let america decide!"
1,"""we are not going back!"" leader @andreascousins to @fpaoutrageous @womenshealthny"
0,"along w/ #scotus and 100s of other judges and regulatory rollback, this is why i voted for @potus @realdonaldtrump"
0,thank you @s10bird for speaking out and sharing your truth!
1,"@politico_45 commenters: your insistence on use of ""pro-life"" (the pc term, i gather?) is misguided. what you are, in truth, is anti-women."
0,#ourtimeisnow help us stand w/ @realdonaldtrump to put a pro-#2a majority on #scotus &amp;
0,#loveislove #lovewins @shakirasison we love you momsh!!
0,the left's trouble history with #scotus continues ↓
0,"marriage is not weddings and hand-holding selfies, it is dedication, loyalty, and admiration."
0,"michele roberts—an 'incredible' lawyer, kagan said—reflects on 1980s dc murder case now at #scotus: via @marciacoyle"
0,"we all have that one friend who just fails fabulously (happy pride month, y'all ‍ )"
1,#rapeculture summed up.
0,#scotus announces chief justice roberts is recusing himself from a case the court heard in december.
0,"@kylegriffin1 would #scotus agree with the administration that grandparents don't have a ""close familial relationship"" with their grandchildren?"
1,people should have to pass tests to legislate. if they don't understand biology they shouldn't be allow to vote on
0,breaking: #scotus asked to review maryland gun ban
1,"#womenwearwhite to honor american woman suffragists at #jointsession as a pledge to fight for #equalpay, #reprorights, etc. |"
0,RT @Paul71: Who's yer man in the #dail talking about bullying? The only bullying was Fine Gael bullying their own members!
1,what it’s like to be a jew of color—and a #reprorights activist—in the trump era
-1,thank you @refinery29 for covering this story - an absolute must-read.
-1,together we will end #abortion! #whywemarch gen
-1,congressman @bradwenstrup: younger people are more #prolife than previous generations. #prolifegen @frcdc
-1,"@RedAlert -there should be a ""stigma"" to butchering pre-born children - its a horrendous crime against humanity."
0,"trump’s #scotus nominee would put the rights of women, people of color and the lgbtq community at risk."
1,"without consent @itgalzpodcast used rosemary's story to exacerbate #rapeculture , victim blame &amp; show us their internalised misogyny"
0,"real life #marriage is hard. there are highs, yes. and lows that require big work to overcome. it's worth it."
-1,"@explicit0ceans whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved."
-1,"And do not kill ur children for fear of poverty. We provide for them & for u. Indeed, their killing is ever a great sin."
1,"when gop ""fixes"" to the #ahca trash maternity care and family planning"
0,#scotus justice elena kagan was the first woman to serve as u.s. solicitor general.
1,@ppact @emmya2 so representatives for 50.8% of us population are totally absent from #reprorights governing. we have got to fix this.
0,"left: #scotus cafeteria—no dr pepper right: @reagan_library cafeteria—dr pepper mr. chief justice, tear down this wall!"
0,"happy pride, liverpool! have a beautiful day."
1,"I'm killing my baby tonight, I don't care if it's wrong or right!"
0,"breaking: hatch meets with trump, discusses supreme court and key utah issues."
0,president trump will pick one or more great #scotus judges. he will also be filling 100’s of federal and appellate judges.
0,dick heller stopped by to chat about gun laws and was kind enough to sign a constitution!
-1,"say #chooselife! choose #renton, choose #trainspottinglive coming to a town near you - go see it!!"
-1,All of this has nothing to do w providing medical care - @NARALVirginia on TRAP regulations
0,"@ErikLoomis You're a historian? Of what , malice? Your hatred of her child is astonishing."
0,"spicer says schumer is about to make history ""in a very bad way,"" regarding filibuster."
-1,@FeministSpag @1310edhand @1310news we do care about the hurt inflicted upon preborn children through .
1,what do #reprorights look like in your state? check out the new @naral report and find out!
0,"instead of wasting energy fighting, try creating a new space that allows for other points of view. then savor it like a fine wine."
1,"this is the rape apologist who i serve with in @nhhouseofreps. he needs to resign, yesterday."
-1,christians are leaving the girl scouts over its connection to planned parenthood
-1,RT alvedaking: The most disturbing thing we to this planet is to flood our streets with the #blood of #children from ...
1,thank you @amyziering for @thehuntinground &amp; making a difference for the
0,"thank you, @theatlantic for allowing me to use my voice."
1,"countries like the us, russia &amp; guyana worked to weaken other governments’ resolve said @skowalski of"
-1,Life is sacred on all levels. Abortion does not compute with my philosophy. Kate Mulgrew @TheKateMulgrew (Red on )
1,an important read today: @dawnlaguens on the intersection of the #marchforscience and .
1,It very simple .. Let women choose..
1,"""being angry with someone’s #boundaries reveals an attitude of sexual ."""
1,"""we need to get better at showing how important women's &amp; girls' #reprohealth &amp; #reprorights are"" @arthurerken"
-1,follow us on instagram:
-1,abortion clinic offering to kill baby at 30 weeks now under investigation
1,"regina fonseca, women's rights defender, discusses strategies for change on #abortion #reprorights in honduras &amp; n.ireland. @queensubelfast"
0,ldf’s @christinaswarns recently argued before #scotus in the racially charged death penalty case of #duanebuck &amp; won
-1,asked a protester-u'll fund the moms?Yes-So #announced it in DT #hamont-yo ppl #NoAbortion=these ppl wth picz will pay 4yo' kids
1,"now more than ever, new york needs to be a leader on #reprorights. sign the petition:"
-1,Was at the planned parenthood protest in #fitchburg today with the image of Our Lady of America
-1,so many young people standing for life! thrilled to be joined by pro-life youths today.
-1,@ConnectCatholic The justification of abortion is rooted in selfishness & fear & they come from lack of faith & self centeredness
1,when @nysassembly speaker @carlheastie speaks up for #reprorights &amp; gets all the applause. @nysa_majority
0,@norwichpride #lollardspit ‍happy pride ‍ open till 2am - disco - bbq - free jd samples - ice cream -
1,cop a squat next to @mehranx and get into today's !
0,"there aren't many guys i'd spend 8 hours selling merch for, but for @loveandtheft, i'd do it again every time. love you both!"
-1,How can there be too many #children? That is like saying there are too many #flowers -Mother Teresa
0,don't build your marriage on your feelings that constantly change. build your #marriage on your #faith in allah.
1,Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this.
0,maybe @senatedems should withhold consideration until #scotus justice nominated by the winner of the popular vote.
0,. @drmoore explains why religious liberty is essential for our societies.
0,#lovewins everywhere let’s keep fighting for a planet where you can love without shame.
0,#antichoice activists say trump’s #scotus picks aren’t extreme enough: @motherjones
-1,"mt @amenditusa: new mood,new plan. let america decide!"
0,could the #scotus #muslimban ruling lead to a total shutdown of muslims entering the us? @deanofcomedy joins @msignorile now to discuss!
-1,FYI: Whoopi Goldberg is a feminist hero for her six abortions.
-1,"insulating, sanding, painting, gluing, carving, gardening; our carriage restoration world is never dull."
0,"congrats germany : germany approves same-sex marriage , bringing it in line with much of western europe."
0,"Is there a gas that increases self-mutilation (tattoos, piercing, drugging, over-eating, & suicide) & violence?"
0,marriage is about the coming together of two people &amp; two families
-1,pro-choicers are basically tryna fight oppression with more oppression .
1,"@LogicOfLife7 No one is advocating ""punishment"". Would you force ppl to give birth against their wills?"
0,there is no stronger foundation than jesus christ.
0,Help your friend figure out how they're going to get there and where to stay if they need to spend the night
-1,RT @LisetteHasHope: Yes I will be at @theRallyforLife! Counting down to it. Looking forward to standing up for the right to life ...
0,does eric dreiband's name sound familiar? he rep'd abercrombie&amp;fitch @ #scotus 2 yrs ago. a&amp;f was sued for refusing to hire a muslim woman.
1,"we need repeal, not replacement; we need #reprorights out of the constitution wholly"
-1,today the house of representatives passed hr 7 making the hyde amendment permanent &amp; blocking taxes from funding abortions!
-1,coffee out the nose or down the windpipe... next time... we're going for out the nose
-1,"life is the right of every child, not a special privilege for the fortunate, the planned and the perfect."
1,proud to co-sponsor sen @karenspilka @repkatehogan's #patchact to ensure access to #reprohealth services
0,eternal bond: marital lessons from 40 prophetic traditions is a free course. enroll now
1,"glad @ralphnortham visited cmcw, one of virginia's fantastic independent women's clinics! they're work is critical to #reprorights in va."
0,"#reprorights are under assault given price, ryan &amp; others, plus #scotus vacancy. glad @nygovcuomo doing this &amp; hope other govs follow suit."
1,"@mrprolife You would force a woman to risk her health, sanity, and life, to continue a doomed pregnancy. Against her will. No."
0,so insensitive. like people have feelings. be gentle.
-1,"Justice Breyer et al think injections into arms of killers is heinous. No word on acidic saline executing unborn babies, however."
-1,get results_follow a new tactic!
0,#scotus @ussupremecourt how long do you intend to be quiet? you are letting this lunatic destroy our republic! speak cowards!
0,a touching story of two marines falling in love
0,judge william pryor is on trump's #scotus short list. but he's being unfairly criticized - by the right.
0,just got sworn in by #scotus justice samuel alito. i’m excited abt all we can accomplish for #ohio &amp; our country. time to get back to work!
-1,couldn't be prouder to call these pro-life feminists my friends! (disclaimer: i don't agree with everything in this article)
0,the supreme court of the united states (#scotus) has final say over what federal laws and the u.s. constitution mean. /5
0,how much do you really know about #relationships? find out more at.
-1,Pro Choice? Just choose to kill yourself after your baby is born.
0,when #forgiveness is in ur #marriage ur #children will b #secure. read 3 #principles of
-1,when grace told sienna to #chooselife in #hollyoaks i wanted her 2 give it the full #trainspotting speech!!
0,meryl streep proved at @goldenglobes that she's a superstar on the screen &amp; in moral courage. #lightthedarkness #lovewins @merylstreeppage
0,#williampryor posing nude for gay mag now as judge and potential #scotus candidate wants to criminalize gay sex.
0,@ap guess the judge figured a 9-0 #scotus ruling was probably pretty sound. didn't have much choice.
1,@jelani9 it shouldn't take 50women to come forward to have 1 of them be believed.
-1,today is a good day as i'm interviewing ewen bremner 'spud' is signing #t2 dvd @foppedinburgh at 5:30pm
0,sign says it all. from rally in front of .
0,"&amp; if you believe that the democrats are the obstructionists, go talk to #scotus justice merrick garland. oh wait."
0,fascinating study on success in seeking #scotus review; been available on ssrn for a while; now officially in published form.
1,"women's rights are threatened at national, state, and local levels. honored to receive the @naralmissouri endorsement today."
0,william taft (#scotus chief justice) is only former potus to take and administer the presidential oath of office. photo @hooverpreslib
0,the challenge of putting the people we love first. #family #marriage @healthy_couples @relationguru
1,"We need more public funding for birth control, condoms and abortions, especially abortions."
-1,mt @awakedeborah: fearfully and wonderfully made! by god.
0,put a little love in your heart and vote for !
0,tune in at 11:11 pst for the premier of love letters to god. #lovewins @josue_foto
-1," roe v. wade attorney sarah weddington’s shocking answer when asked, “whatever happened to roe?”"
-1,#catholic order organizes #prolife rally against
1,I #DenounceHarper for refusing to include family planning in foreign aid even though spending $1 could save $6
-1,so grateful to @danwatermeier for introducing lb46 and supporting #chooselife license plates!
1,wtf is wrong with @renee_unterman rapeculture rapekit womensrights
0,buckle-up snowflakes. where we’ll soon cripple you is #trump #scotus picks over 8 yrs. a death-blow to the alt-left progressive disfunction.
-1,mt @patrioticgirl86: keep me safe lord from the hands of the wicked.
1,It is not Pro-Life if you ignore life of the pregnant woman; that includes physical/mental health.IsProLife
1,we're talking children-its sexual violence &amp; assault not prostitution. there is no consent.
0,"the marshall court explained (marbury, mcculloch, gibbons) #hsgovchat #apgov #cram4apgov (essential #scotus info)"
0,"#homosexuality is not a choice, but #homophobia is. @wipehomophobia retweet if you agree."
1,Are the same people who are red faced and frothing over abortion also against the death penalty? Just wondering...
-1,@HillaryClinton Don't you mean to say (all children deserve the same chances) except the UNBORN CHILDREN?
-1,Do to others whatever you would have them do to you. This is the law and the prophets. Mt 7:12
1,@davebachman34 @Clifford1462 @msnbc you know what massively reduces abortion? Sex education and access to birth control.
-1,only 3 shows left @brightonfringe get on it before it's too late.
0,the rubber will hit road when #potustrump nominates his choice to replace #scalia on #scotus &amp; #plannedparenthood $ &amp; #roevwade are at risk.
-1,"if we can accept that a mother can kill even her own child, how can we tell other people not to kill one another?"
-1,"HOW COULD I DIE BEFORE EVEN I BORN,TO YOU I AM JUST TINY LITTLE THING THAT DOESN'T MATTER"
-1,I support @GovMikeHuckabee because I want to see Planned Parenthood gone.
0,#elb: today’s important decision in bethune-hill rick pildes with a different take than i have on #scotus case
-1,super soft but honestly would not trade this experience for the whole entire world
-1,your body is your god given kingdom...used to show god if you are a good or bad ruler
0,#godfirst #friendssecond and then everything else will follow. …
0,To run outside? To run inside?
0,happy #pride to all those going today in london
0,.@senjudiciary committee chairman @chuckgrassley made the following statement after a meeting at the @whitehouse on the #scotus vacancy.
0,stayed up late (8pm) last night so i could celebrate my husband's 10 yr anniversary with @hirestrategy! our 12th is next month.
0,Bigger problems 4 #Christians than same sex :
0,congratulations germany for passing #marriageequality what great news this is so happy for you
1,i believe bill cosby. it’s time to start believing men who say they drug or sexually assault women.
0,@BuckSexton of course we want the Feds to puff puff pass!
0,"[podcast] courthouse steps: trinity lutheran church of columbia, inc. v. comer - decided"
1,it's necessary to never forget this.
0,judicial watch continues fight against maryland gerrymandering at #scotus via @judicialwatch
-1,Alright #SCOTUS your next order of business should be overturning
-1,"So you're at the #rally4life? Tell me more about how #antichoice laws kill 47,000 women A YEAR! Very ""#prolife"" uh?"
-1,@AnneJp1946 I have no problem with birth control but their you go with that free thing again. So your solution is murder good idea
-1,"Why do people think it's ok to get an abortion... What the fuck is wrong with you? What if your mom aborted you, you sick fuck!"
0,here's congratulating our #indian #rainbow .. another successful #mumbaipride .. missed being there today .. love you all
-1,The government has not been able to point to any improved health outcomes for women
0,@rosaryrevival Prayers & best wishes for St Catherine of Sienna on Wednesday. Will say #Eastertide Glorious Mysteries as usual.
-1,"We can be the generation that ends abortion. I don't care whose toes we step on or who we offend, it's time to put an end to"
1,advocating with fellow physicians 4 health care for all. @cirseiu
0,"alright february, i see you coming: i'm ready."
0,we got some big news to share sooooooooonnnnnn!! somaya &amp; @iamladyluck
1,(•_•) &lt;) )my body. / \ \(•_•) ( (&gt; my choice. / \ (•_•) &lt;) )&gt; my rules. / \ →
0,"more than a dozen new cases granted by #scotus today, likely(?) the last new cases of the current term."
0,"make a decision on where you will focus your time and energy. partner with love, not fear and doubt!"
-1,a mob hurled racial slurs at and attacked #marchforlife supporters. : : @fox5dc : @nicedeb
0,"me: *insults husband* hubs: i love you, too"
0,to say it's packed outside of #scotus right now would be an understatement. a lot of people here to protest the #trump travel ban. (@wusa9)
0,why #marriage should be a 2-year renewable contract. discussion on facebook live tonight 10pm et
0,@meamhere It isn't going to happen. The LW and the RW have too many differences.
0,@6tito_m8 @brettcateley @juansge @rey4united @1f_st ⏸#lovewins #⃣ #1first 1⃣ f. i. r. s. t. ⏸
-1,went to see #trainspottinglive tonight in falkirk. best show ive seen cast were phenomenal!
-1,the #marchforlife is next!
0,"today london has #prideinlondon , #alloa has an #orangewalk - says it all really"
-1,pro-life students will protest barbara bush fundraiser for planned parenthood abortion biz
0,if pattie says #lovewins one more time i'm gonna choke her
0,fuck the hate #gay #gaylove #lgbt #lgbtq #loveislove #lovewins #gaykiss #cute #goals #kiss #love #gayinsta 2017 ‍
0,@BaronTrader @DynaMoChen Margret Sangers Looking a little rough!!!!
1,we dispel a bunch of long-held #abortion myths in our latest video. watch:
0,what to do if your spouse fails you:
0, this so called #wh with its so called president need to remember: #lovetrumpshate #lovewins &amp;
1,"today, ny'ers in albany stood up for #reprorights &amp; !"
0,"in 2009, #sessions led attacks on #scotus justice #sotomayor during her nomination process for the supreme court. sessions"
1,"@TheFullBug Dehumanizing? Why are you dehumanizing the pregnant person? They're more than walking incubators, and have rights!"
0,clarence thomas is great on #scotus not the bho picks of kagan &amp; vile sotomayor who said she would have bashed scalia with a baseball bat
-1,@ghhshirley Abortion Workers Charged with Manslaughter After Another Woman Dies From
0,spent yesterday attending the first @iwpride. so impressed with the whole event and the enormous turnout. fantastic day!
0,"or sometimes, like in the case of merrick garland, he doesn't even pick it up."
-1,"C7German: Heaven is our Goal, life is our conquest"
0,@potus we go over this everyday. it's spelled g-a-r-l-a-n-d. garland.
-1,thank you .@potus @realdonaldtrump for this outstanding nomination of .
0,@theellenshow you are beautiful just the way you are. i love you!
0,@mrsdrjim did you know #wrp @BrianJeanWRP tried to get personhood going via federal .
0,justice anthony kennedy turns 81 today.
0,did you know @justicewillett has highest vote total in texas history? just saying. he'd do great in a hearing ahem #scotus @realdonaldtrump
0,.@thedemocrats are out of control when they promise #scotus filibuster before they even know who the nominee will be
0,Terrible golf last couple days! Goes down on the notes as one of these
0,this is by far the best article i've read on summarizing the possible #scotus nominees:
0,#heterosexualprideday i'm proud that i can finally come out and say i'm proud to be straight with no one holding me back 🤠
-1,Happy July 4th- freedom day! Let liberty ring out!
0,"#fairandlegal no 2017 elections for #ncga #scotus halts flawed, partisan, lower court ruling."
-1,mt @awakedeborah: fearfully and wonderfully made! by god.
0,"sad! dems threatening a filibuster over @potus' #scotus nom before even knowing who it is! proves it's a/b politics - no policy, for them!"
1,"so happy to be here with @ppgenaction organizers, friends and fellow activists."
-1,Thanks @Jeffrey_Addison Kudos to @VolvoCarsAus for caring about the safety of unborn children
-1,@slu_ryan you have to go see #trainspottinglive when it comes to brissy.. live nudity and swearing - right up your street!
-1,@nice_euna As much as they try the notion of ts the 21st century its killing a lot.....
1,"""every ob/gyn refused to perform a tubal ligation, instead recommending the iud."""
-1,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.
-1,"i highly recommend watching ""3801 lancaster: american tragedy"" about kermit gosnell. it's heartbreaking yet enlightening."
0,"love never, ever, ever, fails."
0,what's at stake in ccr's ziglar v. abbasi case being argued today at #scotus? (hint: a lot!) read our factsheet here
0,".@brespolitico excellent, they can start by taking up the #scotus nominee that was on hold for nearly a year."
-1,@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead!
-1,if truth is a micro aggression 2 the left Why is name calling by the left not a mega hypocrisy?
0,.@mike_pence will be sworn in using pres. reagan's bible—turned to ii chron. 7:14. oath administered by #scotus justice clarence thomas.
1,track all of the #antichoice #abortion and #reprorights bills at the #txlege with our bill tracker:
0,Women have outgrown the common housewife stigma long ago
0,two wrongs don't make a right. you know this. don't let their 'sickness' infect you. be careful.
0,tell her she'll be better when she stops being bitter.
-1,@ghhshirley Charged with Manslaughter After Another Woman Dies From
-1,If you want #Equality then let ALL the babies live!!
-1,The most horrific violence in America is the war on babies.
0,*obama paints gay flag on drones as he bombs a bunch of arab countries* liberals:
0,convention of states can overturn the supreme court and stop federal agencies like the epa from making laws:
-1,"Pregnancy is not a crisis. It's a gift. Whether they be wanted by you or someone else, no child is unwanted."
-1,Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO.
-1,@FactsVsOpinion these poor souls won't be anything in the future @PPact encouraged women to murder babies.
-1,I am Nazi Holocaust survivor and I say that Abortion is America's Holocaust! -Sibylle Heidrich von Campe
-1,"mt @march_for_life ""'i'm a mother today because my mom chose life!' beautiful!"""
0,“never stop courting your spouse.” ~ frank sonnenberg @fsonnenberg
-1,"health board buckles to pro-abort pressure, forces pregnancy centers to post false signage:"
0,report: obama officials may have 'hacked' supreme court
1,"I don't plan on ever having an abortion, but here's the thing ...I don't think anyone ever PLANS on it."
1,"after years of undermining #reprorights, a conservative group is about to give pence a “working for women” award."
1,"@nytimes Thanks to anti-choicers, women dealing with this may also face prosecution."
0,today's arguments before #scotus re: right of #disabled children to free appropriate public education
-1,#Humans have taken over the role of -
